title,Paper,filename,citation,in_text_citation
"Direct observation of reversible charge compensation by oxygen ion in Li-rich manganese layered oxide positive electrode material, Li1.16Ni0.15Co0.19Mn0.50O2",https://www.sciencedirect.com/science/article/pii/S0378775314019612,1-s2.0-S0378775314019612-main.pdf,"Oishi, M., Yogi, C., Watanabe, I., Ohta, T., Orikasa, Y., Uchimoto, Y., & Ogumi, Z. (2015). Direct observation of reversible charge compensation by oxygen ion in Li-rich manganese layered oxide positive electrode material, Li1.16Ni0.15Co0.19Mn0.50O2. In Journal of Power Sources (Vol. 276, pp. 89–94). Elsevier BV. https://doi.org/10.1016/j.jpowsour.2014.11.104","(Oishi et al., 2015)"
Thermal stress-induced charge and structure heterogeneity in emerging cathode materials,https://www.sciencedirect.com/science/article/pii/S1369702119308727,1-s2.0-S1369702119308727-main.pdf,"Alvarado, J., Wei, C., Nordlund, D., Kroll, T., Sokaras, D., Tian, Y., Liu, Y., & Doeff, M. M. (2020). Thermal stress-induced charge and structure heterogeneity in emerging cathode materials. In Materials Today (Vol. 35, pp. 87–98). Elsevier BV. https://doi.org/10.1016/j.mattod.2019.11.009","(Alvarado et al., 2020)"
Charge Heterogeneity and Surface Chemistry in Polycrystalline Cathode Materials,https://www.cell.com/joule/fulltext/S2542-4351(17)30223-4?_returnURL=https%3A%2F%2Flinkinghub.elsevier.com%2Fretrieve%2Fpii%2FS2542435117302234%3Fshowall%3Dtrue,1-s2.0-S2542435117302234-main.pdf,"Tian, Chixia et al. Joule, Volume 2, Issue 3, 464 - 477","(Tian et al., 2018)"
"Two-dimensional hetero-spectral Raman/XAS correlation analysis of
Li[Ni0.45Co0.18Mn0.25Al0.12]O2 cathode in the overcharged state",https://www.sciencedirect.com/science/article/abs/pii/S0924203112000793?via%3Dihub,2D XAS of NMCAl cathode in the overcharged state.pdf,Y. Park et al. / Vibrational Spectroscopy 60 (2012) 226–230. https://doi.org/10.1016/j.vibspec.2012.03.004,"(Park et al., 2012)"
Structural and electrochemical properties of new nanospherical manganese oxides for lithium batteries,https://pubs.rsc.org/en/content/articlepdf/2005/jm/b509210h,b509210h.pdf,"Strobel, P., Thiry, F., Darie, C., Proux, O., Ibarra-Palos, A., Bacia, M., & Soupart, J. B. (2005). Structural and electrochemical properties of new nanospherical manganese oxides for lithium batteries. In Journal of Materials Chemistry (Vol. 15, Issue 45, p. 4799). Royal Society of Chemistry (RSC). https://doi.org/10.1039/b509210h","(Strobel et al., 2005)"
Operando X-ray Absorption Study of the Redox Processes Involved upon Cycling of the Li-Rich Layered Oxide Li1.20Mn0.54Co0.13Ni0.13O2 in Li Ion Batteries,https://pubs.acs.org/doi/10.1021/jp412197z,belin-et-al-2014-operando-x-ray-absorption-study-of-the-redox-processes-involved-upon-cycling-of-the-li-rich-layered.pdf,"Koga, H., Croguennec, L., Ménétrier, M., Mannessiez, P., Weill, F., Delmas, C., & Belin, S. (2014). Operando X-ray absorption study of the redox processes involved upon cycling of the Li-rich layered oxide li1.20mn0.54co0.13ni0.13o2 in Li Ion Batteries. The Journal of Physical Chemistry C, 118(11), 5700–5709. https://doi.org/10.1021/jp412197z","(Koga et al., 2014)"
How the Negative Electrode Influences Interfacial and Electrochemical Properties of LiNi1/3Co1/3Mn1/3O2 Cathodes in Li-Ion Batteries,https://iopscience.iop.org/article/10.1149/2.0711713jes,Björklund_2017_J._Electrochem._Soc._164_A3054-1.pdf,"Bjrklund, E., Brandell, D., Hahlin, M., Edstrm, K., & Younesi, R. (2017). How the Negative Electrode Influences Interfacial and Electrochemical Properties of LiNi1/3Co1/3Mn1/3O2Cathodes in Li-Ion Batteries. In Journal of The Electrochemical Society (Vol. 164, Issue 13, pp. A3054–A3059). The Electrochemical Society. https://doi.org/10.1149/2.0711713jes","(Bjrklund et al., 2017)"
"Charge compensation mechanisms in Li1.16Ni0.15Co0.19Mn0.50O2 positive electrode
material for Li-ion batteries analyzed by a combination of hard and soft X-ray
absorption near edge structure",https://www.sciencedirect.com/science/article/pii/S0378775312013110?via%3Dihub,Charge compensation mechanisms in Li1.16Ni0.15Co0.19Mn0.50O2 positive electrode material for Li-ion batteries analyzed by a combination of hard and soft X-ray absorp.pdf,M. Oishi et al. / Journal of Power Sources 222 (2013) 45-51. https://doi.org/10.1016/j.jpowsour.2012.08.023,"(Oishi et al., 2013)"
"Robust Machine Learning Inference from X‑ray Absorption Near
Edge Spectra through Featurization",https://pubs.acs.org/doi/10.1021/acs.chemmater.3c02584?ref=PDF,chen-et-al-2024.pdf,"Yiming Chen, Chi Chen, Inhui Hwang, Michael J. Davis, Wanli Yang, Chengjun Sun, Gi-Hyeok Lee, Dylan McReynolds, Daniel Allan, Juan Marulanda Arias, Shyue Ping Ong, and Maria K. Y. Chan Chemistry of Materials 2024 36 (5), 2304-2313 DOI: 10.1021/acs.chemmater.3c02584","(Chen et al., 2024)"
"XAFS Investigations of LiNi0.45Mn0.45Co0.1−yAlyO2 Positive
Electrode Materials",https://iopscience.iop.org/article/10.1149/2.048209jes,Conry_2012_J._Electrochem._Soc._159_A1562.pdf,Thomas E. Conry et al 2012 J. Electrochem. Soc. 159 A1562. https://doi.org/10.1149/2.048209jes,(Conry et al. 2012)
